TimeStamp,gX,gY,gZ,gUserX,gUserY,gUserZ
20-May-2019 08:19:40.01,0.032440,-0.303604,-0.917862,-0.009251,0.027051,0.041446
20-May-2019 08:19:40.02,0.043015,-0.289383,-0.924881,-0.001156,0.055438,0.014854
20-May-2019 08:19:40.03,0.031586,-0.304352,-0.916824,0.013540,0.070470,0.007662
20-May-2019 08:19:40.04,0.026062,-0.327789,-0.913971,0.007515,0.056854,0.015351
20-May-2019 08:19:40.05,0.020081,-0.344299,-0.888885,0.003318,0.032342,0.018653
20-May-2019 08:19:40.06,0.030548,-0.353455,-0.880371,-0.000443,0.015596,0.043881
20-May-2019 08:19:40.07,0.050323,-0.370193,-0.915985,0.011242,0.004090,0.053325
20-May-2019 08:19:40.08,0.041443,-0.396179,-0.964081,0.031162,-0.013910,0.018196
20-May-2019 08:19:40.09,0.028885,-0.413300,-0.948212,0.022538,-0.041428,-0.029311
20-May-2019 08:19:40.10,0.029648,-0.421600,-0.942917,0.013472,-0.059320,-0.013086
20-May-2019 08:19:40.11,0.025253,-0.413071,-0.906219,0.018875,-0.066771,-0.008048
20-May-2019 08:19:40.13,0.014236,-0.394257,-0.865891,0.015681,-0.058664,0.028823
20-May-2019 08:19:40.14,0.014847,-0.377747,-0.847595,0.005871,-0.043399,0.070501
20-May-2019 08:19:40.15,0.021637,-0.375305,-0.832169,0.005954,-0.033475,0.091233
20-May-2019 08:19:40.15,0.024338,-0.361694,-0.856018,0.015075,-0.021488,0.084287
20-May-2019 08:19:40.17,0.010010,-0.328888,-0.973648,0.015162,-0.030476,0.087491
20-May-2019 08:19:40.18,-0.041626,-0.273697,-1.012253,0.005643,-0.008455,-0.026387
20-May-2019 08:19:40.18,-0.041626,-0.273697,-1.012253,-0.043713,0.045087,-0.064428
20-May-2019 08:19:40.20,-0.048615,-0.262161,-1.013412,-0.039295,0.044800,-0.064332
20-May-2019 08:19:40.21,-0.038025,-0.298218,-0.920425,-0.040957,0.059271,-0.066511
20-May-2019 08:19:40.21,-0.038025,-0.298218,-0.920425,-0.029348,0.024259,0.026112
20-May-2019 08:19:40.22,-0.008545,-0.319229,-0.900101,-0.029348,0.024259,0.026112
20-May-2019 08:19:40.23,0.003677,-0.340134,-0.869797,0.001793,0.004354,0.046043
20-May-2019 08:19:40.24,0.011032,-0.356201,-0.852097,0.001793,0.004354,0.046043
20-May-2019 08:19:40.25,0.040161,-0.355377,-0.874756,0.020339,-0.029777,0.093081
20-May-2019 08:19:40.26,0.049210,-0.350494,-0.920135,0.051645,-0.033832,0.072069
20-May-2019 08:19:40.27,-0.000565,-0.331436,-1.023224,0.063584,-0.033947,0.028332
20-May-2019 08:19:40.28,-0.082047,-0.312698,-1.015167,0.015762,-0.017742,-0.073840
20-May-2019 08:19:40.29,-0.117554,-0.319351,-0.994812,-0.058930,-0.006668,-0.063426
20-May-2019 08:19:40.30,-0.115646,-0.315521,-0.985962,-0.092325,-0.016696,-0.042046
20-May-2019 08:19:40.31,-0.054642,-0.291962,-0.971100,-0.090489,-0.014110,-0.032800
20-May-2019 08:19:40.32,0.025238,-0.269562,-0.960281,-0.033106,0.007012,-0.017082
20-May-2019 08:19:40.33,0.063477,-0.254059,-0.945709,0.041650,0.027561,-0.005583
20-May-2019 08:19:40.34,0.068939,-0.247299,-0.921890,0.078464,0.042861,0.009075
20-May-2019 08:19:40.35,0.040115,-0.265930,-0.890106,0.081622,0.049322,0.033021
20-May-2019 08:19:40.36,0.008316,-0.305481,-0.853958,0.053075,0.030038,0.065004
20-May-2019 08:19:40.37,0.024033,-0.316483,-0.869263,0.021911,-0.010176,0.101348
20-May-2019 08:19:40.38,0.032822,-0.300201,-0.969696,0.037494,-0.020807,0.085931
20-May-2019 08:19:40.39,0.003662,-0.270859,-1.033234,0.052596,-0.009800,-0.012995
20-May-2019 08:19:40.40,-0.041473,-0.213120,-1.083511,0.033220,0.017754,-0.076244
20-May-2019 08:19:40.41,-0.082947,-0.203751,-1.082870,0.033220,0.017754,-0.076244
20-May-2019 08:19:40.41,-0.066757,-0.225159,-1.054642,-0.048281,0.089192,-0.127369
20-May-2019 08:19:40.43,-0.015015,-0.246292,-1.036835,-0.034847,0.073435,-0.100795
20-May-2019 08:19:40.44,0.031113,-0.261093,-0.994461,-0.034847,0.073435,-0.100795
20-May-2019 08:19:40.44,0.061829,-0.291382,-0.980103,0.055224,0.044505,-0.042606
20-May-2019 08:19:40.45,0.047821,-0.338196,-0.971786,0.083059,0.016160,-0.028805
20-May-2019 08:19:40.47,0.028534,-0.351593,-0.947769,0.063798,-0.027266,-0.021488
20-May-2019 08:19:40.48,0.019440,-0.357208,-0.946411,0.038139,-0.035227,0.000819
20-May-2019 08:19:40.49,0.011902,-0.367218,-0.928558,0.025009,-0.036230,0.000659
20-May-2019 08:19:40.49,0.021225,-0.373032,-0.912399,0.025009,-0.036230,0.000659
20-May-2019 08:19:40.51,0.028671,-0.370499,-0.900696,0.022536,-0.049035,0.033658
20-May-2019 08:19:40.52,0.026962,-0.363815,-0.879257,0.025573,-0.046332,0.045299
20-May-2019 08:19:40.53,0.017807,-0.354202,-0.851669,0.012067,-0.027352,0.093389
20-May-2019 08:19:40.54,0.002060,-0.329575,-0.860550,0.010229,-0.029540,0.094130
20-May-2019 08:19:40.54,-0.008209,-0.294617,-0.893845,-0.005935,-0.009330,0.086751
20-May-2019 08:19:40.55,-0.018661,-0.263535,-0.920929,-0.005935,-0.009330,0.086751
20-May-2019 08:19:40.57,-0.019547,-0.251160,-0.945755,-0.024467,0.055347,0.026848
20-May-2019 08:19:40.58,-0.019089,-0.258896,-0.945755,-0.021269,0.071784,0.000662
20-May-2019 08:19:40.58,-0.019287,-0.271591,-0.955368,-0.021269,0.071784,0.000662
20-May-2019 08:19:40.60,-0.014679,-0.291992,-0.944992,-0.014166,0.056673,-0.010796
20-May-2019 08:19:40.61,0.000748,-0.313568,-0.937836,-0.002840,0.045654,-0.003793
20-May-2019 08:19:40.61,-0.010895,-0.330048,-0.922226,-0.002840,0.045654,-0.003793
20-May-2019 08:19:40.63,-0.018646,-0.337311,-0.904480,0.006399,0.014304,0.016456
20-May-2019 08:19:40.63,-0.007095,-0.342484,-0.889755,0.001125,0.009510,0.033243
20-May-2019 08:19:40.64,0.005753,-0.348816,-0.876495,0.001125,0.009510,0.033243
